USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root        1000  0.0  1.8 1382516 93424 ?       Ssl  20:23   0:00 /usr/sbin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
root         975  0.0  0.8 1336712 45116 ?       Ssl  20:23   0:03 /usr/bin/containerd
root        2938  0.0  0.4 1322148 23680 ?       Sl   21:02   0:00 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 606cbbab5967bbbaf9d369367a3affade54721de35f0bb5cf4763bccbc06137a -address /run/containerd/containerd.sock
root         996  0.0  0.4 109184 21192 ?        Ssl  20:23   0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root        2920  0.0  0.3 1148292 15136 ?       Sl   21:02   0:00 /usr/sbin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 2223 -container-ip 172.17.0.2 -container-port 22
root         303  0.0  0.2  31984 14992 ?        Ss   20:23   0:00 /lib/systemd/systemd-journald
root           1  0.0  0.2 101768 12868 ?        Ss   20:23   0:01 /sbin/init vultr
systemd+     461  0.0  0.2  24632 12640 ?        Ss   20:23   0:00 /lib/systemd/systemd-resolved
root          63  0.0  0.0      0     0 ?        S    20:23   0:00 [irq/34-aerdrv]
root          64  0.0  0.0      0     0 ?        S    20:23   0:00 [irq/35-aerdrv]
root          65  0.0  0.0      0     0 ?        S    20:23   0:00 [irq/36-aerdrv]
root          66  0.0  0.0      0     0 ?        S    20:23   0:00 [irq/37-aerdrv]
root          67  0.0  0.0      0     0 ?        S    20:23   0:00 [irq/38-aerdrv]
root          68  0.0  0.0      0     0 ?        S    20:23   0:00 [irq/39-aerdrv]
root          69  0.0  0.0      0     0 ?        S    20:23   0:00 [irq/40-aerdrv]
root          70  0.0  0.0      0     0 ?        S    20:23   0:00 [irq/41-aerdrv]
root          71  0.0  0.0      0     0 ?        S    20:23   0:00 [irq/42-aerdrv]
root          72  0.0  0.0      0     0 ?        S    20:23   0:00 [irq/43-aerdrv]
root          73  0.0  0.0      0     0 ?        S    20:23   0:00 [irq/44-aerdrv]
root          74  0.0  0.0      0     0 ?        S    20:23   0:00 [irq/45-aerdrv]
root          75  0.0  0.0      0     0 ?        S    20:23   0:00 [irq/46-aerdrv]
root          76  0.0  0.0      0     0 ?        S    20:23   0:00 [irq/47-aerdrv]
root          77  0.0  0.0      0     0 ?        S    20:23   0:00 [irq/48-aerdrv]
root          78  0.0  0.0      0     0 ?        S    20:23   0:00 [irq/49-aerdrv]
root          79  0.0  0.0      0     0 ?        S    20:23   0:00 [irq/50-aerdrv]
